"",2016/02,2016/03,2016/04,2016/05,2016/06,2016/07,2016/08,總水量
olivia．玲,2452,4874,11360,7954,4471,4207,3276,38594
Joanne,751,2450,6482,5780,5786,2939,2107,26295
Yun-Chen,0,961,10564,1215,7298,4215,713,24966
Syd,764,631,4415,3789,4537,3412,2298,19846
Vincent,124,1451,5281,4416,3949,1807,2122,19150
盈萱,0,0,7,6551,4314,3234,3066,17172
Omi,998,2600,6392,3311,2807,250,787,17145
Lai,0,0,3308,4159,5117,1897,2261,16742
鍾華瑩（仰望月亮的貓）,1120,1627,4993,3242,2101,1426,1031,15540
柏安~Derek~,484,411,5296,2742,2340,1640,1156,14069
Rabin,359,1322,3225,1873,2098,1999,1310,12186
紀亭竹(冰多多),1634,2224,2569,1982,979,665,296,10349
雅 *.+゜,0,0,726,2368,2293,1128,1807,8322
紅茶(重組中),936,542,2785,1464,922,495,353,7497
Ruby,0,0,502,2826,1716,645,887,6576
°*珍*°,421,1983,1085,234,1102,648,249,5722
Ｌeon,232,579,2304,713,763,449,114,5154
力►L-J-C,739,718,739,597,825,564,556,4738
JJ-湖水綠水岸民宿,191,723,1906,398,718,524,267,4727
林瑞紋Ailsa,77,120,1224,1268,1152,654,124,4619
Cora,1666,942,1020,179,46,30,54,3937
林浩克,466,541,1346,330,378,621,103,3785
翔允/stan,0,14,562,1765,853,228,361,3783
Romand,0,0,6,0,152,2125,1177,3460
Joan,217,459,898,339,321,168,57,2459
白梨,77,102,572,383,604,394,216,2348
venner amberson,188,182,758,341,470,216,107,2262
Nickla,0,485,518,222,215,142,289,1871
Sandy,113,295,714,105,117,104,108,1556
奇,67,118,624,123,423,116,42,1513
hugh,5,59,600,120,413,98,63,1358
Jun,0,0,0,29,443,179,410,1061
LiVa〃玫咩,183,103,247,107,71,170,152,1033
陳大毛,88,65,82,338,151,95,86,905
PY Lin,192,555,0,0,0,109,10,866
