Day,加了牛奶的紅茶(O)
02/01/2016,27
02/02/2016,18
02/03/2016,18
02/04/2016,34
02/05/2016,57
02/06/2016,26
02/07/2016,59
02/08/2016,12
02/09/2016,20
02/10/2016,44
02/11/2016,40
02/12/2016,87
02/13/2016,37
02/14/2016,51
02/15/2016,48
02/16/2016,63
02/17/2016,28
02/18/2016,40
02/19/2016,29
02/20/2016,33
02/21/2016,11
02/22/2016,29
02/23/2016,9
02/24/2016,30
02/25/2016,24
02/26/2016,10
02/27/2016,24
02/28/2016,14
02/29/2016,14
03/01/2016,9
03/02/2016,19
03/03/2016,24
03/04/2016,4
03/05/2016,18
03/06/2016,32
03/07/2016,13
03/08/2016,42
03/09/2016,38
03/10/2016,39
03/11/2016,24
03/12/2016,14
03/13/2016,26
03/14/2016,10
03/15/2016,5
03/16/2016,11
03/17/2016,29
03/18/2016,18
03/19/2016,16
03/20/2016,9
03/21/2016,18
03/22/2016,5
03/23/2016,8
03/24/2016,8
03/25/2016,9
03/26/2016,24
03/27/2016,15
03/28/2016,8
03/29/2016,11
03/30/2016,24
03/31/2016,12
04/01/2016,54
04/02/2016,40
04/03/2016,43
04/04/2016,64
04/05/2016,159
04/06/2016,115
04/07/2016,82
04/08/2016,77
04/09/2016,64
04/10/2016,69
04/11/2016,93
04/12/2016,78
04/13/2016,136
04/14/2016,171
04/15/2016,89
04/16/2016,116
04/17/2016,39
04/18/2016,94
04/19/2016,105
04/20/2016,123
04/21/2016,80
04/22/2016,147
04/23/2016,35
04/24/2016,39
04/25/2016,86
04/26/2016,150
04/27/2016,106
04/28/2016,125
04/29/2016,182
04/30/2016,24
05/01/2016,103
05/02/2016,84
05/03/2016,96
05/04/2016,68
05/05/2016,87
05/06/2016,50
05/07/2016,15
05/08/2016,8
05/09/2016,61
05/10/2016,54
05/11/2016,60
05/12/2016,48
05/13/2016,81
05/14/2016,14
05/15/2016,32
05/16/2016,100
05/17/2016,84
05/18/2016,93
05/19/2016,53
05/20/2016,43
05/21/2016,17
05/22/2016,4
05/23/2016,47
05/24/2016,35
05/25/2016,20
05/26/2016,35
05/27/2016,12
05/28/2016,3
05/29/2016,8
05/30/2016,33
05/31/2016,16
06/01/2016,14
06/02/2016,42
06/03/2016,67
06/04/2016,56
06/05/2016,8
06/06/2016,8
06/07/2016,63
06/08/2016,23
06/09/2016,19
06/10/2016,16
06/11/2016,23
06/12/2016,30
06/13/2016,18
06/14/2016,11
06/15/2016,106
06/16/2016,25
06/17/2016,83
06/18/2016,17
06/19/2016,19
06/20/2016,26
06/21/2016,56
06/22/2016,19
06/23/2016,52
06/24/2016,45
06/25/2016,16
06/26/2016,33
06/27/2016,27
06/28/2016,0
06/29/2016,0
06/30/2016,0
07/01/2016,0
07/02/2016,0
07/03/2016,0
07/04/2016,50
07/05/2016,47
07/06/2016,35
07/07/2016,31
07/08/2016,8
07/09/2016,8
07/10/2016,35
07/11/2016,0
07/12/2016,0
07/13/2016,0
07/14/2016,0
07/15/2016,0
07/16/2016,0
07/17/2016,0
07/18/2016,0
07/19/2016,0
07/20/2016,19
07/21/2016,38
07/22/2016,28
07/23/2016,31
07/24/2016,39
07/25/2016,26
07/26/2016,18
07/27/2016,20
07/28/2016,2
07/29/2016,41
07/30/2016,18
07/31/2016,1
08/01/2016,25
08/02/2016,22
08/03/2016,15
08/04/2016,33
08/05/2016,14
08/06/2016,26
08/07/2016,15
08/08/2016,11
08/09/2016,11
08/10/2016,10
08/11/2016,2
08/12/2016,1
08/13/2016,4
08/14/2016,9
08/15/2016,1
08/16/2016,0
08/17/2016,3
08/18/2016,6
08/19/2016,31
08/20/2016,1
08/21/2016,0
08/22/2016,29
08/23/2016,8
08/24/2016,3
08/25/2016,5
08/26/2016,8
08/27/2016,0
08/28/2016,1
08/29/2016,14
08/30/2016,32
08/31/2016,13
09/01/2016,13
09/02/2016,25
09/03/2016,2
09/04/2016,12
09/05/2016,1
09/06/2016,15
09/07/2016,17
09/08/2016,41
09/09/2016,19
09/10/2016,12
09/11/2016,6
09/12/2016,1
09/13/2016,24
09/14/2016,35
09/15/2016,27
09/16/2016,16
09/17/2016,55
09/18/2016,27
09/19/2016,157
09/20/2016,185
09/21/2016,49
09/22/2016,33
09/23/2016,26
09/24/2016,41
09/25/2016,20
09/26/2016,17
09/27/2016,31
09/28/2016,16
09/29/2016,20
09/30/2016,26
