Day,Syd
02/01/2016,42
02/02/2016,5
02/03/2016,36
02/04/2016,23
02/05/2016,31
02/06/2016,42
02/07/2016,68
02/08/2016,19
02/09/2016,22
02/10/2016,19
02/11/2016,20
02/12/2016,20
02/13/2016,104
02/14/2016,48
02/15/2016,77
02/16/2016,14
02/17/2016,12
02/18/2016,15
02/19/2016,24
02/20/2016,8
02/21/2016,45
02/22/2016,18
02/23/2016,5
02/24/2016,0
02/25/2016,3
02/26/2016,30
02/27/2016,7
02/28/2016,5
02/29/2016,2
03/01/2016,15
03/02/2016,14
03/03/2016,7
03/04/2016,6
03/05/2016,10
03/06/2016,3
03/07/2016,8
03/08/2016,27
03/09/2016,30
03/10/2016,28
03/11/2016,6
03/12/2016,7
03/13/2016,9
03/14/2016,8
03/15/2016,33
03/16/2016,1
03/17/2016,12
03/18/2016,14
03/19/2016,7
03/20/2016,1
03/21/2016,76
03/22/2016,70
03/23/2016,87
03/24/2016,11
03/25/2016,13
03/26/2016,13
03/27/2016,9
03/28/2016,25
03/29/2016,20
03/30/2016,52
03/31/2016,9
04/01/2016,20
04/02/2016,10
04/03/2016,39
04/04/2016,65
04/05/2016,157
04/06/2016,142
04/07/2016,102
04/08/2016,48
04/09/2016,53
04/10/2016,51
04/11/2016,167
04/12/2016,105
04/13/2016,205
04/14/2016,119
04/15/2016,83
04/16/2016,102
04/17/2016,135
04/18/2016,284
04/19/2016,182
04/20/2016,188
04/21/2016,248
04/22/2016,248
04/23/2016,210
04/24/2016,60
04/25/2016,266
04/26/2016,310
04/27/2016,135
04/28/2016,296
04/29/2016,166
04/30/2016,219
05/01/2016,102
05/02/2016,88
05/03/2016,567
05/04/2016,344
05/05/2016,279
05/06/2016,70
05/07/2016,59
05/08/2016,42
05/09/2016,15
05/10/2016,35
05/11/2016,34
05/12/2016,28
05/13/2016,42
05/14/2016,35
05/15/2016,26
05/16/2016,134
05/17/2016,233
05/18/2016,97
05/19/2016,54
05/20/2016,32
05/21/2016,76
05/22/2016,44
05/23/2016,214
05/24/2016,185
05/25/2016,185
05/26/2016,80
05/27/2016,188
05/28/2016,103
05/29/2016,89
05/30/2016,66
05/31/2016,243
06/01/2016,293
06/02/2016,254
06/03/2016,237
06/04/2016,153
06/05/2016,93
06/06/2016,19
06/07/2016,193
06/08/2016,81
06/09/2016,39
06/10/2016,107
06/11/2016,183
06/12/2016,225
06/13/2016,225
06/14/2016,253
06/15/2016,233
06/16/2016,150
06/17/2016,146
06/18/2016,99
06/19/2016,37
06/20/2016,84
06/21/2016,168
06/22/2016,142
06/23/2016,262
06/24/2016,179
06/25/2016,71
06/26/2016,123
06/27/2016,88
06/28/2016,8
06/29/2016,133
06/30/2016,259
07/01/2016,130
07/02/2016,67
07/03/2016,53
07/04/2016,90
07/05/2016,304
07/06/2016,230
07/07/2016,90
07/08/2016,82
07/09/2016,28
07/10/2016,111
07/11/2016,57
07/12/2016,106
07/13/2016,170
07/14/2016,82
07/15/2016,95
07/16/2016,151
07/17/2016,55
07/18/2016,50
07/19/2016,59
07/20/2016,438
07/21/2016,91
07/22/2016,97
07/23/2016,61
07/24/2016,82
07/25/2016,101
07/26/2016,78
07/27/2016,134
07/28/2016,78
07/29/2016,89
07/30/2016,89
07/31/2016,36
