Day,Rabin
02/01/2016,2
02/02/2016,7
02/03/2016,0
02/04/2016,15
02/05/2016,2
02/06/2016,5
02/07/2016,11
02/08/2016,2
02/09/2016,0
02/10/2016,29
02/11/2016,23
02/12/2016,4
02/13/2016,1
02/14/2016,17
02/15/2016,35
02/16/2016,17
02/17/2016,7
02/18/2016,22
02/19/2016,42
02/20/2016,16
02/21/2016,1
02/22/2016,65
02/23/2016,8
02/24/2016,13
02/25/2016,1
02/26/2016,5
02/27/2016,6
02/28/2016,0
02/29/2016,3
03/01/2016,1
03/02/2016,39
03/03/2016,0
03/04/2016,9
03/05/2016,7
03/06/2016,17
03/07/2016,71
03/08/2016,107
03/09/2016,78
03/10/2016,82
03/11/2016,38
03/12/2016,23
03/13/2016,21
03/14/2016,62
03/15/2016,35
03/16/2016,6
03/17/2016,69
03/18/2016,30
03/19/2016,8
03/20/2016,6
03/21/2016,73
03/22/2016,30
03/23/2016,141
03/24/2016,57
03/25/2016,48
03/26/2016,1
03/27/2016,26
03/28/2016,36
03/29/2016,107
03/30/2016,48
03/31/2016,46
04/01/2016,83
04/02/2016,71
04/03/2016,20
04/04/2016,53
04/05/2016,48
04/06/2016,28
04/07/2016,54
04/08/2016,56
04/09/2016,26
04/10/2016,24
04/11/2016,61
04/12/2016,155
04/13/2016,75
04/14/2016,130
04/15/2016,52
04/16/2016,32
04/17/2016,110
04/18/2016,107
04/19/2016,58
04/20/2016,185
04/21/2016,202
04/22/2016,84
04/23/2016,208
04/24/2016,159
04/25/2016,175
04/26/2016,246
04/27/2016,142
04/28/2016,296
04/29/2016,138
04/30/2016,147
05/01/2016,103
05/02/2016,206
05/03/2016,192
05/04/2016,103
05/05/2016,25
05/06/2016,3
05/07/2016,37
05/08/2016,20
05/09/2016,41
05/10/2016,56
05/11/2016,29
05/12/2016,10
05/13/2016,5
05/14/2016,0
05/15/2016,0
05/16/2016,0
05/17/2016,0
05/18/2016,58
05/19/2016,151
05/20/2016,73
05/21/2016,60
05/22/2016,107
05/23/2016,43
05/24/2016,114
05/25/2016,51
05/26/2016,50
05/27/2016,33
05/28/2016,20
05/29/2016,78
05/30/2016,140
05/31/2016,65
06/01/2016,189
06/02/2016,117
06/03/2016,47
06/04/2016,38
06/05/2016,40
06/06/2016,17
06/07/2016,68
06/08/2016,25
06/09/2016,9
06/10/2016,99
06/11/2016,20
06/12/2016,355
06/13/2016,17
06/14/2016,41
06/15/2016,37
06/16/2016,93
06/17/2016,91
06/18/2016,93
06/19/2016,27
06/20/2016,25
06/21/2016,13
06/22/2016,35
06/23/2016,235
06/24/2016,82
06/25/2016,33
06/26/2016,13
06/27/2016,27
06/28/2016,3
06/29/2016,55
06/30/2016,154
07/01/2016,16
07/02/2016,51
07/03/2016,22
07/04/2016,41
07/05/2016,66
07/06/2016,50
07/07/2016,225
07/08/2016,46
07/09/2016,19
07/10/2016,36
07/11/2016,79
07/12/2016,43
07/13/2016,47
07/14/2016,48
07/15/2016,29
07/16/2016,20
07/17/2016,15
07/18/2016,20
07/19/2016,48
07/20/2016,247
07/21/2016,60
07/22/2016,111
07/23/2016,69
07/24/2016,96
07/25/2016,21
07/26/2016,97
07/27/2016,119
07/28/2016,39
07/29/2016,118
07/30/2016,50
07/31/2016,37
