Day,紅茶
02/01/2016,27
02/02/2016,18
02/03/2016,18
02/04/2016,35
02/05/2016,57
02/06/2016,26
02/07/2016,59
02/08/2016,12
02/09/2016,20
02/10/2016,44
02/11/2016,40
02/12/2016,87
02/13/2016,37
02/14/2016,51
02/15/2016,48
02/16/2016,63
02/17/2016,28
02/18/2016,40
02/19/2016,29
02/20/2016,33
02/21/2016,11
02/22/2016,29
02/23/2016,9
02/24/2016,30
02/25/2016,24
02/26/2016,10
02/27/2016,24
02/28/2016,14
02/29/2016,14
03/01/2016,9
03/02/2016,19
03/03/2016,24
03/04/2016,4
03/05/2016,18
03/06/2016,32
03/07/2016,13
03/08/2016,42
03/09/2016,38
03/10/2016,39
03/11/2016,24
03/12/2016,14
03/13/2016,26
03/14/2016,10
03/15/2016,5
03/16/2016,11
03/17/2016,29
03/18/2016,18
03/19/2016,16
03/20/2016,9
03/21/2016,18
03/22/2016,5
03/23/2016,8
03/24/2016,8
03/25/2016,9
03/26/2016,24
03/27/2016,15
03/28/2016,8
03/29/2016,11
03/30/2016,24
03/31/2016,12
04/01/2016,54
04/02/2016,40
04/03/2016,43
04/04/2016,64
04/05/2016,159
04/06/2016,115
04/07/2016,39
