Day,venner amberson
02/01/2016,8
02/02/2016,1
02/03/2016,33
02/04/2016,13
02/05/2016,3
02/06/2016,0
02/07/2016,6
02/08/2016,2
02/09/2016,3
02/10/2016,0
02/11/2016,15
02/12/2016,8
02/13/2016,1
02/14/2016,0
02/15/2016,8
02/16/2016,5
02/17/2016,3
02/18/2016,2
02/19/2016,0
02/20/2016,9
02/21/2016,15
02/22/2016,3
02/23/2016,12
02/24/2016,5
02/25/2016,10
02/26/2016,16
02/27/2016,7
02/28/2016,0
02/29/2016,0
03/01/2016,2
03/02/2016,8
03/03/2016,0
03/04/2016,22
03/05/2016,3
03/06/2016,4
03/07/2016,1
03/08/2016,0
03/09/2016,0
03/10/2016,5
03/11/2016,6
03/12/2016,0
03/13/2016,0
03/14/2016,2
03/15/2016,3
03/16/2016,1
03/17/2016,7
03/18/2016,9
03/19/2016,6
03/20/2016,5
03/21/2016,0
03/22/2016,0
03/23/2016,29
03/24/2016,13
03/25/2016,26
03/26/2016,10
03/27/2016,0
03/28/2016,4
03/29/2016,0
03/30/2016,13
03/31/2016,3
04/01/2016,4
04/02/2016,0
04/03/2016,4
04/04/2016,51
04/05/2016,6
04/06/2016,57
04/07/2016,22
04/08/2016,6
04/09/2016,6
04/10/2016,4
04/11/2016,25
04/12/2016,58
04/13/2016,86
04/14/2016,34
04/15/2016,88
04/16/2016,33
04/17/2016,2
04/18/2016,38
04/19/2016,10
04/20/2016,79
04/21/2016,21
04/22/2016,42
04/23/2016,14
04/24/2016,6
04/25/2016,1
04/26/2016,28
04/27/2016,5
04/28/2016,20
04/29/2016,6
04/30/2016,2
05/01/2016,13
05/02/2016,0
05/03/2016,23
05/04/2016,16
05/05/2016,31
05/06/2016,37
05/07/2016,2
05/08/2016,4
05/09/2016,4
05/10/2016,0
05/11/2016,18
05/12/2016,15
05/13/2016,6
05/14/2016,1
05/15/2016,0
05/16/2016,5
05/17/2016,29
05/18/2016,23
05/19/2016,2
05/20/2016,5
05/21/2016,21
05/22/2016,0
05/23/2016,21
05/24/2016,8
05/25/2016,20
05/26/2016,14
05/27/2016,2
05/28/2016,0
05/29/2016,0
05/30/2016,3
05/31/2016,18
06/01/2016,2
06/02/2016,12
06/03/2016,16
06/04/2016,5
06/05/2016,44
06/06/2016,1
06/07/2016,13
06/08/2016,19
06/09/2016,10
06/10/2016,27
06/11/2016,0
06/12/2016,3
06/13/2016,41
06/14/2016,20
06/15/2016,26
06/16/2016,46
06/17/2016,20
06/18/2016,2
06/19/2016,2
06/20/2016,24
06/21/2016,4
06/22/2016,61
06/23/2016,1
06/24/2016,3
06/25/2016,0
06/26/2016,0
06/27/2016,56
06/28/2016,0
06/29/2016,3
06/30/2016,9
07/01/2016,8
07/02/2016,1
07/03/2016,4
07/04/2016,1
07/05/2016,26
07/06/2016,3
07/07/2016,20
07/08/2016,2
07/09/2016,0
07/10/2016,0
07/11/2016,13
07/12/2016,2
07/13/2016,12
07/14/2016,15
07/15/2016,23
07/16/2016,0
07/17/2016,1
07/18/2016,1
07/19/2016,0
07/20/2016,37
07/21/2016,16
07/22/2016,12
07/23/2016,2
07/24/2016,0
07/25/2016,17
07/26/2016,0
07/27/2016,0
07/28/2016,0
07/29/2016,0
07/30/2016,0
07/31/2016,0
