Day,Joan
02/01/2016,0
02/02/2016,1
02/03/2016,10
02/04/2016,0
02/05/2016,3
02/06/2016,0
02/07/2016,0
02/08/2016,0
02/09/2016,5
02/10/2016,1
02/11/2016,4
02/12/2016,0
02/13/2016,20
02/14/2016,0
02/15/2016,29
02/16/2016,0
02/17/2016,10
02/18/2016,0
02/19/2016,3
02/20/2016,3
02/21/2016,2
02/22/2016,70
02/23/2016,8
02/24/2016,0
02/25/2016,27
02/26/2016,0
02/27/2016,13
02/28/2016,2
02/29/2016,6
03/01/2016,12
03/02/2016,17
03/03/2016,9
03/04/2016,16
03/05/2016,4
03/06/2016,4
03/07/2016,7
03/08/2016,42
03/09/2016,34
03/10/2016,36
03/11/2016,2
03/12/2016,9
03/13/2016,1
03/14/2016,0
03/15/2016,0
03/16/2016,4
03/17/2016,11
03/18/2016,4
03/19/2016,0
03/20/2016,0
03/21/2016,17
03/22/2016,30
03/23/2016,21
03/24/2016,32
03/25/2016,2
03/26/2016,24
03/27/2016,18
03/28/2016,84
03/29/2016,2
03/30/2016,0
03/31/2016,17
04/01/2016,72
04/02/2016,6
04/03/2016,4
04/04/2016,2
04/05/2016,43
04/06/2016,21
04/07/2016,3
04/08/2016,5
04/09/2016,118
04/10/2016,55
04/11/2016,117
04/12/2016,55
04/13/2016,34
04/14/2016,53
04/15/2016,17
04/16/2016,1
04/17/2016,63
04/18/2016,12
04/19/2016,23
04/20/2016,10
04/21/2016,5
04/22/2016,2
04/23/2016,16
04/24/2016,44
04/25/2016,39
04/26/2016,1
04/27/2016,4
04/28/2016,0
04/29/2016,45
04/30/2016,28
05/01/2016,22
05/02/2016,0
05/03/2016,5
05/04/2016,3
05/05/2016,16
05/06/2016,11
05/07/2016,20
05/08/2016,0
05/09/2016,66
05/10/2016,55
05/11/2016,8
05/12/2016,0
05/13/2016,5
05/14/2016,5
05/15/2016,6
05/16/2016,0
05/17/2016,0
05/18/2016,0
05/19/2016,31
05/20/2016,2
05/21/2016,1
05/22/2016,0
05/23/2016,0
05/24/2016,0
05/25/2016,14
05/26/2016,32
05/27/2016,0
05/28/2016,5
05/29/2016,20
05/30/2016,0
05/31/2016,12
06/01/2016,0
06/02/2016,0
06/03/2016,47
06/04/2016,4
06/05/2016,1
06/06/2016,0
06/07/2016,0
06/08/2016,0
06/09/2016,0
06/10/2016,15
06/11/2016,44
06/12/2016,80
06/13/2016,4
06/14/2016,6
06/15/2016,2
06/16/2016,14
06/17/2016,12
06/18/2016,25
06/19/2016,0
06/20/2016,23
06/21/2016,1
06/22/2016,2
06/23/2016,4
06/24/2016,0
06/25/2016,0
06/26/2016,3
06/27/2016,16
06/28/2016,0
06/29/2016,7
06/30/2016,11
07/01/2016,0
07/02/2016,7
07/03/2016,6
07/04/2016,1
07/05/2016,2
07/06/2016,0
07/07/2016,3
07/08/2016,0
07/09/2016,4
07/10/2016,6
07/11/2016,0
07/12/2016,13
07/13/2016,0
07/14/2016,0
07/15/2016,0
07/16/2016,1
07/17/2016,0
07/18/2016,0
07/19/2016,0
07/20/2016,24
07/21/2016,0
07/22/2016,2
07/23/2016,0
07/24/2016,18
07/25/2016,8
07/26/2016,0
07/27/2016,2
07/28/2016,2
07/29/2016,46
07/30/2016,18
07/31/2016,5
08/01/2016,0
08/02/2016,1
08/03/2016,0
08/04/2016,0
08/05/2016,0
08/06/2016,0
08/07/2016,14
08/08/2016,13
08/09/2016,3
08/10/2016,0
08/11/2016,0
08/12/2016,0
08/13/2016,0
08/14/2016,0
08/15/2016,0
08/16/2016,0
08/17/2016,0
08/18/2016,0
08/19/2016,0
08/20/2016,0
08/21/2016,0
08/22/2016,0
08/23/2016,0
08/24/2016,0
08/25/2016,0
08/26/2016,0
08/27/2016,0
08/28/2016,0
08/29/2016,18
08/30/2016,0
08/31/2016,8
09/01/2016,16
09/02/2016,6
09/03/2016,5
09/04/2016,1
09/05/2016,5
09/06/2016,6
09/07/2016,0
09/08/2016,4
09/09/2016,31
09/10/2016,5
09/11/2016,5
09/12/2016,30
09/13/2016,25
09/14/2016,4
09/15/2016,29
09/16/2016,22
09/17/2016,7
09/18/2016,0
09/19/2016,31
09/20/2016,25
09/21/2016,32
09/22/2016,5
09/23/2016,0
09/24/2016,2
09/25/2016,0
09/26/2016,24
09/27/2016,14
09/28/2016,21
09/29/2016,1
09/30/2016,0
