Day,奇
02/01/2016,0
02/02/2016,0
02/03/2016,1
02/04/2016,0
02/05/2016,0
02/06/2016,0
02/07/2016,0
02/08/2016,0
02/09/2016,1
02/10/2016,0
02/11/2016,0
02/12/2016,0
02/13/2016,27
02/14/2016,5
02/15/2016,0
02/16/2016,0
02/17/2016,0
02/18/2016,13
02/19/2016,1
02/20/2016,13
02/21/2016,2
02/22/2016,1
02/23/2016,0
02/24/2016,0
02/25/2016,3
02/26/2016,0
02/27/2016,0
02/28/2016,0
02/29/2016,0
03/01/2016,0
03/02/2016,1
03/03/2016,0
03/04/2016,1
03/05/2016,0
03/06/2016,3
03/07/2016,3
03/08/2016,1
03/09/2016,4
03/10/2016,16
03/11/2016,5
03/12/2016,1
03/13/2016,3
03/14/2016,1
03/15/2016,1
03/16/2016,2
03/17/2016,8
03/18/2016,4
03/19/2016,2
03/20/2016,0
03/21/2016,3
03/22/2016,4
03/23/2016,9
03/24/2016,2
03/25/2016,2
03/26/2016,1
03/27/2016,10
03/28/2016,25
03/29/2016,4
03/30/2016,1
03/31/2016,1
04/01/2016,12
04/02/2016,15
04/03/2016,24
04/04/2016,62
04/05/2016,10
04/06/2016,1
04/07/2016,0
04/08/2016,13
04/09/2016,26
04/10/2016,33
04/11/2016,32
04/12/2016,38
04/13/2016,16
04/14/2016,49
04/15/2016,10
04/16/2016,24
04/17/2016,16
04/18/2016,11
04/19/2016,15
04/20/2016,1
04/21/2016,2
04/22/2016,2
04/23/2016,12
04/24/2016,34
04/25/2016,33
04/26/2016,20
04/27/2016,13
04/28/2016,37
04/29/2016,39
04/30/2016,24
05/01/2016,4
05/02/2016,0
05/03/2016,22
05/04/2016,12
05/05/2016,1
05/06/2016,0
05/07/2016,6
05/08/2016,26
05/09/2016,0
05/10/2016,0
05/11/2016,1
05/12/2016,0
05/13/2016,1
05/14/2016,6
05/15/2016,6
05/16/2016,4
05/17/2016,3
05/18/2016,1
05/19/2016,3
05/20/2016,0
05/21/2016,5
05/22/2016,5
05/23/2016,2
05/24/2016,5
05/25/2016,1
05/26/2016,1
05/27/2016,0
05/28/2016,0
05/29/2016,7
05/30/2016,0
05/31/2016,1
06/01/2016,12
06/02/2016,19
06/03/2016,0
06/04/2016,1
06/05/2016,6
06/06/2016,0
06/07/2016,7
06/08/2016,0
06/09/2016,1
06/10/2016,4
06/11/2016,50
06/12/2016,1
06/13/2016,38
06/14/2016,9
06/15/2016,28
06/16/2016,32
06/17/2016,0
06/18/2016,28
06/19/2016,18
06/20/2016,29
06/21/2016,11
06/22/2016,28
06/23/2016,29
06/24/2016,9
06/25/2016,0
06/26/2016,4
06/27/2016,11
06/28/2016,2
06/29/2016,19
06/30/2016,27
07/01/2016,11
07/02/2016,26
07/03/2016,1
07/04/2016,0
07/05/2016,0
07/06/2016,3
07/07/2016,3
07/08/2016,9
07/09/2016,7
07/10/2016,4
07/11/2016,1
07/12/2016,1
07/13/2016,0
07/14/2016,1
07/15/2016,1
07/16/2016,5
07/17/2016,6
07/18/2016,3
07/19/2016,3
07/20/2016,22
07/21/2016,1
07/22/2016,1
07/23/2016,0
07/24/2016,3
07/25/2016,1
07/26/2016,0
07/27/2016,0
07/28/2016,2
07/29/2016,0
07/30/2016,0
07/31/2016,1
08/01/2016,5
08/02/2016,3
08/03/2016,5
08/04/2016,0
08/05/2016,1
08/06/2016,3
08/07/2016,3
08/08/2016,0
08/09/2016,1
08/10/2016,1
08/11/2016,4
08/12/2016,2
08/13/2016,0
08/14/2016,0
08/15/2016,1
08/16/2016,1
08/17/2016,1
08/18/2016,1
08/19/2016,8
08/20/2016,1
08/21/2016,0
08/22/2016,0
08/23/2016,0
08/24/2016,0
08/25/2016,0
08/26/2016,0
08/27/2016,0
08/28/2016,0
08/29/2016,0
08/30/2016,1
08/31/2016,0
09/01/2016,4
09/02/2016,0
09/03/2016,0
09/04/2016,0
09/05/2016,2
09/06/2016,0
09/07/2016,0
09/08/2016,2
09/09/2016,0
09/10/2016,1
09/11/2016,0
09/12/2016,1
09/13/2016,0
09/14/2016,1
09/15/2016,28
09/16/2016,0
09/17/2016,0
09/18/2016,0
09/19/2016,0
09/20/2016,0
09/21/2016,0
09/22/2016,0
09/23/2016,0
09/24/2016,0
09/25/2016,12
09/26/2016,0
09/27/2016,0
09/28/2016,0
09/29/2016,0
09/30/2016,1
