Day,Ailsa
02/01/2016,0
02/02/2016,0
02/03/2016,0
02/04/2016,0
02/05/2016,0
02/06/2016,0
02/07/2016,0
02/08/2016,2
02/09/2016,0
02/10/2016,0
02/11/2016,5
02/12/2016,0
02/13/2016,32
02/14/2016,5
02/15/2016,1
02/16/2016,4
02/17/2016,0
02/18/2016,28
02/19/2016,0
02/20/2016,0
02/21/2016,0
02/22/2016,0
02/23/2016,0
02/24/2016,0
02/25/2016,0
02/26/2016,0
02/27/2016,0
02/28/2016,0
02/29/2016,0
03/01/2016,0
03/02/2016,0
03/03/2016,0
03/04/2016,0
03/05/2016,0
03/06/2016,0
03/07/2016,0
03/08/2016,0
03/09/2016,2
03/10/2016,3
03/11/2016,0
03/12/2016,0
03/13/2016,2
03/14/2016,0
03/15/2016,0
03/16/2016,1
03/17/2016,0
03/18/2016,0
03/19/2016,0
03/20/2016,0
03/21/2016,0
03/22/2016,4
03/23/2016,0
03/24/2016,0
03/25/2016,0
03/26/2016,0
03/27/2016,6
03/28/2016,0
03/29/2016,93
03/30/2016,1
03/31/2016,8
04/01/2016,0
04/02/2016,0
04/03/2016,5
04/04/2016,0
04/05/2016,72
04/06/2016,70
04/07/2016,31
04/08/2016,21
04/09/2016,53
04/10/2016,52
04/11/2016,53
04/12/2016,37
04/13/2016,2
04/14/2016,69
04/15/2016,7
04/16/2016,57
04/17/2016,136
04/18/2016,23
04/19/2016,2
04/20/2016,48
04/21/2016,38
04/22/2016,50
04/23/2016,77
04/24/2016,18
04/25/2016,36
04/26/2016,20
04/27/2016,25
04/28/2016,65
04/29/2016,55
04/30/2016,102
05/01/2016,6
05/02/2016,76
05/03/2016,265
05/04/2016,190
05/05/2016,89
05/06/2016,18
05/07/2016,21
05/08/2016,55
05/09/2016,10
05/10/2016,1
05/11/2016,3
05/12/2016,21
05/13/2016,40
05/14/2016,60
05/15/2016,26
05/16/2016,12
05/17/2016,70
05/18/2016,89
05/19/2016,0
05/20/2016,4
05/21/2016,65
05/22/2016,34
05/23/2016,8
05/24/2016,1
05/25/2016,1
05/26/2016,4
05/27/2016,5
05/28/2016,5
05/29/2016,30
05/30/2016,40
05/31/2016,19
06/01/2016,38
06/02/2016,59
06/03/2016,18
06/04/2016,0
06/05/2016,18
06/06/2016,17
06/07/2016,9
06/08/2016,78
06/09/2016,0
06/10/2016,43
06/11/2016,30
06/12/2016,131
06/13/2016,3
06/14/2016,28
06/15/2016,11
06/16/2016,30
06/17/2016,22
06/18/2016,166
06/19/2016,5
06/20/2016,2
06/21/2016,17
06/22/2016,38
06/23/2016,9
06/24/2016,8
06/25/2016,0
06/26/2016,12
06/27/2016,4
06/28/2016,1
06/29/2016,183
06/30/2016,172
07/01/2016,55
07/02/2016,119
07/03/2016,16
07/04/2016,55
07/05/2016,6
07/06/2016,21
07/07/2016,24
07/08/2016,0
07/09/2016,11
07/10/2016,50
07/11/2016,15
07/12/2016,7
07/13/2016,14
07/14/2016,44
07/15/2016,58
07/16/2016,25
07/17/2016,4
07/18/2016,1
07/19/2016,2
07/20/2016,38
07/21/2016,17
07/22/2016,8
07/23/2016,21
07/24/2016,21
07/25/2016,0
07/26/2016,16
07/27/2016,3
07/28/2016,1
07/29/2016,2
07/30/2016,0
07/31/2016,0
