Day,Cora
02/01/2016,86
02/02/2016,81
02/03/2016,109
02/04/2016,205
02/05/2016,232
02/06/2016,122
02/07/2016,124
02/08/2016,15
02/09/2016,95
02/10/2016,39
02/11/2016,57
02/12/2016,30
02/13/2016,5
02/14/2016,51
02/15/2016,67
02/16/2016,55
02/17/2016,12
02/18/2016,9
02/19/2016,43
02/20/2016,11
02/21/2016,11
02/22/2016,67
02/23/2016,3
02/24/2016,5
02/25/2016,88
02/26/2016,28
02/27/2016,12
02/28/2016,2
02/29/2016,2
03/01/2016,8
03/02/2016,0
03/03/2016,12
03/04/2016,1
03/05/2016,17
03/06/2016,73
03/07/2016,100
03/08/2016,2
03/09/2016,0
03/10/2016,147
03/11/2016,1
03/12/2016,51
03/13/2016,5
03/14/2016,0
03/15/2016,78
03/16/2016,2
03/17/2016,17
03/18/2016,13
03/19/2016,30
03/20/2016,0
03/21/2016,16
03/22/2016,0
03/23/2016,70
03/24/2016,0
03/25/2016,32
03/26/2016,82
03/27/2016,6
03/28/2016,4
03/29/2016,130
03/30/2016,45
03/31/2016,0
04/01/2016,2
04/02/2016,124
04/03/2016,15
04/04/2016,17
04/05/2016,0
04/06/2016,0
04/07/2016,51
04/08/2016,15
04/09/2016,0
04/10/2016,5
04/11/2016,0
04/12/2016,20
04/13/2016,0
04/14/2016,71
04/15/2016,137
04/16/2016,66
04/17/2016,4
04/18/2016,1
04/19/2016,17
04/20/2016,0
04/21/2016,6
04/22/2016,242
04/23/2016,46
04/24/2016,1
04/25/2016,43
04/26/2016,64
04/27/2016,0
04/28/2016,73
04/29/2016,0
04/30/2016,0
05/01/2016,2
05/02/2016,0
05/03/2016,9
05/04/2016,0
05/05/2016,0
05/06/2016,0
05/07/2016,0
05/08/2016,0
05/09/2016,0
05/10/2016,0
05/11/2016,53
05/12/2016,0
05/13/2016,0
05/14/2016,1
05/15/2016,0
05/16/2016,0
05/17/2016,0
05/18/2016,0
05/19/2016,9
05/20/2016,3
05/21/2016,0
05/22/2016,0
05/23/2016,0
05/24/2016,0
05/25/2016,0
05/26/2016,0
05/27/2016,0
05/28/2016,0
05/29/2016,0
05/30/2016,87
05/31/2016,15
06/01/2016,0
06/02/2016,0
06/03/2016,0
06/04/2016,0
06/05/2016,0
06/06/2016,0
06/07/2016,32
06/08/2016,0
06/09/2016,0
06/10/2016,0
06/11/2016,0
06/12/2016,0
06/13/2016,0
06/14/2016,0
06/15/2016,0
06/16/2016,0
06/17/2016,0
06/18/2016,0
06/19/2016,0
06/20/2016,0
06/21/2016,0
06/22/2016,0
06/23/2016,0
06/24/2016,0
06/25/2016,14
06/26/2016,0
06/27/2016,0
06/28/2016,0
06/29/2016,0
06/30/2016,0
07/01/2016,30
07/02/2016,0
07/03/2016,0
07/04/2016,0
07/05/2016,0
07/06/2016,0
07/07/2016,0
07/08/2016,0
07/09/2016,0
07/10/2016,0
07/11/2016,0
07/12/2016,0
07/13/2016,0
07/14/2016,0
07/15/2016,0
07/16/2016,0
07/17/2016,0
07/18/2016,0
07/19/2016,0
07/20/2016,0
07/21/2016,0
07/22/2016,0
07/23/2016,0
07/24/2016,0
07/25/2016,0
07/26/2016,0
07/27/2016,0
07/28/2016,0
07/29/2016,0
07/30/2016,0
07/31/2016,0
08/01/2016,0
08/02/2016,0
08/03/2016,42
08/04/2016,0
08/05/2016,0
08/06/2016,0
08/07/2016,0
08/08/2016,0
08/09/2016,0
08/10/2016,12
08/11/2016,0
08/12/2016,0
08/13/2016,0
08/14/2016,0
08/15/2016,0
08/16/2016,0
08/17/2016,0
08/18/2016,0
08/19/2016,0
08/20/2016,0
08/21/2016,0
08/22/2016,0
08/23/2016,0
08/24/2016,0
08/25/2016,0
08/26/2016,0
08/27/2016,0
08/28/2016,0
08/29/2016,0
08/30/2016,0
08/31/2016,0
