Day,L 勞倫斯(LawranceLIAO
02/01/2016,109
02/02/2016,40
02/03/2016,97
02/04/2016,5
02/05/2016,100
02/06/2016,15
02/07/2016,77
02/08/2016,3
02/09/2016,52
02/10/2016,48
02/11/2016,36
02/12/2016,18
02/13/2016,50
02/14/2016,10
02/15/2016,21
02/16/2016,21
02/17/2016,9
02/18/2016,73
02/19/2016,115
02/20/2016,44
02/21/2016,25
02/22/2016,45
02/23/2016,13
02/24/2016,6
02/25/2016,92
02/26/2016,8
02/27/2016,17
02/28/2016,0
02/29/2016,33
03/01/2016,5
03/02/2016,41
03/03/2016,24
03/04/2016,61
03/05/2016,16
03/06/2016,17
03/07/2016,21
03/08/2016,37
03/09/2016,17
03/10/2016,191
03/11/2016,24
03/12/2016,38
03/13/2016,11
03/14/2016,9
03/15/2016,159
03/16/2016,147
03/17/2016,201
03/18/2016,20
03/19/2016,60
03/20/2016,31
03/21/2016,110
03/22/2016,35
03/23/2016,163
03/24/2016,182
03/25/2016,52
03/26/2016,0
03/27/2016,110
03/28/2016,19
03/29/2016,169
03/30/2016,114
03/31/2016,262
