Day,Ｌeon
02/01/2016,1
02/02/2016,12
02/03/2016,28
02/04/2016,0
02/05/2016,2
02/06/2016,3
02/07/2016,2
02/08/2016,7
02/09/2016,0
02/10/2016,0
02/11/2016,2
02/12/2016,5
02/13/2016,25
02/14/2016,18
02/15/2016,16
02/16/2016,11
02/17/2016,6
02/18/2016,4
02/19/2016,2
02/20/2016,0
02/21/2016,58
02/22/2016,25
02/23/2016,2
02/24/2016,1
02/25/2016,2
02/26/2016,0
02/27/2016,0
02/28/2016,0
02/29/2016,0
03/01/2016,0
03/02/2016,5
03/03/2016,17
03/04/2016,5
03/05/2016,0
03/06/2016,4
03/07/2016,5
03/08/2016,1
03/09/2016,31
03/10/2016,3
03/11/2016,4
03/12/2016,10
03/13/2016,7
03/14/2016,0
03/15/2016,0
03/16/2016,3
03/17/2016,9
03/18/2016,16
03/19/2016,4
03/20/2016,17
03/21/2016,44
03/22/2016,15
03/23/2016,25
03/24/2016,30
03/25/2016,4
03/26/2016,16
03/27/2016,52
03/28/2016,82
03/29/2016,128
03/30/2016,30
03/31/2016,12
04/01/2016,53
04/02/2016,10
04/03/2016,0
04/04/2016,20
04/05/2016,97
04/06/2016,106
04/07/2016,79
04/08/2016,76
04/09/2016,72
04/10/2016,63
04/11/2016,37
04/12/2016,136
04/13/2016,67
04/14/2016,72
04/15/2016,34
04/16/2016,77
04/17/2016,33
04/18/2016,116
04/19/2016,134
04/20/2016,164
04/21/2016,86
04/22/2016,137
04/23/2016,66
04/24/2016,84
04/25/2016,133
04/26/2016,87
04/27/2016,42
04/28/2016,45
04/29/2016,53
04/30/2016,102
05/01/2016,0
05/02/2016,0
05/03/2016,0
05/04/2016,0
05/05/2016,0
05/06/2016,0
05/07/2016,0
05/08/2016,58
05/09/2016,7
05/10/2016,19
05/11/2016,9
05/12/2016,2
05/13/2016,19
05/14/2016,19
05/15/2016,9
05/16/2016,17
05/17/2016,5
05/18/2016,30
05/19/2016,0
05/20/2016,1
05/21/2016,0
05/22/2016,15
05/23/2016,35
05/24/2016,29
05/25/2016,14
05/26/2016,7
05/27/2016,1
05/28/2016,0
05/29/2016,30
05/30/2016,33
05/31/2016,40
