Day,Lai
02/01/2016,0
02/02/2016,0
02/03/2016,0
02/04/2016,0
02/05/2016,0
02/06/2016,0
02/07/2016,0
02/08/2016,0
02/09/2016,0
02/10/2016,0
02/11/2016,0
02/12/2016,0
02/13/2016,0
02/14/2016,0
02/15/2016,0
02/16/2016,0
02/17/2016,0
02/18/2016,0
02/19/2016,0
02/20/2016,0
02/21/2016,0
02/22/2016,0
02/23/2016,0
02/24/2016,0
02/25/2016,0
02/26/2016,0
02/27/2016,0
02/28/2016,0
02/29/2016,0
03/01/2016,0
03/02/2016,0
03/03/2016,0
03/04/2016,0
03/05/2016,0
03/06/2016,0
03/07/2016,0
03/08/2016,0
03/09/2016,0
03/10/2016,0
03/11/2016,0
03/12/2016,0
03/13/2016,0
03/14/2016,0
03/15/2016,0
03/16/2016,0
03/17/2016,0
03/18/2016,0
03/19/2016,0
03/20/2016,0
03/21/2016,0
03/22/2016,0
03/23/2016,0
03/24/2016,0
03/25/2016,0
03/26/2016,0
03/27/2016,0
03/28/2016,0
03/29/2016,0
03/30/2016,0
03/31/2016,0
04/01/2016,19
04/02/2016,20
04/03/2016,38
04/04/2016,90
04/05/2016,70
04/06/2016,111
04/07/2016,93
04/08/2016,21
04/09/2016,32
04/10/2016,173
04/11/2016,192
04/12/2016,37
04/13/2016,231
04/14/2016,112
04/15/2016,97
04/16/2016,15
04/17/2016,133
04/18/2016,64
04/19/2016,268
04/20/2016,102
04/21/2016,115
04/22/2016,275
04/23/2016,95
04/24/2016,43
04/25/2016,300
04/26/2016,174
04/27/2016,129
04/28/2016,24
04/29/2016,139
04/30/2016,29
05/01/2016,0
05/02/2016,0
05/03/2016,0
05/04/2016,0
05/05/2016,0
05/06/2016,0
05/07/2016,0
05/08/2016,36
05/09/2016,164
05/10/2016,136
05/11/2016,162
05/12/2016,61
05/13/2016,104
05/14/2016,14
05/15/2016,64
05/16/2016,337
05/17/2016,44
05/18/2016,89
05/19/2016,52
05/20/2016,38
05/21/2016,172
05/22/2016,255
05/23/2016,362
05/24/2016,135
05/25/2016,347
05/26/2016,262
05/27/2016,304
05/28/2016,53
05/29/2016,35
05/30/2016,455
05/31/2016,480
