Day,翔允/stan
02/01/2016,0
02/02/2016,0
02/03/2016,0
02/04/2016,0
02/05/2016,0
02/06/2016,0
02/07/2016,0
02/08/2016,0
02/09/2016,0
02/10/2016,0
02/11/2016,0
02/12/2016,0
02/13/2016,0
02/14/2016,0
02/15/2016,0
02/16/2016,0
02/17/2016,0
02/18/2016,0
02/19/2016,0
02/20/2016,0
02/21/2016,0
02/22/2016,0
02/23/2016,0
02/24/2016,0
02/25/2016,0
02/26/2016,0
02/27/2016,0
02/28/2016,0
02/29/2016,0
03/01/2016,0
03/02/2016,0
03/03/2016,0
03/04/2016,0
03/05/2016,0
03/06/2016,0
03/07/2016,0
03/08/2016,0
03/09/2016,0
03/10/2016,0
03/11/2016,0
03/12/2016,0
03/13/2016,0
03/14/2016,0
03/15/2016,0
03/16/2016,0
03/17/2016,0
03/18/2016,0
03/19/2016,0
03/20/2016,0
03/21/2016,0
03/22/2016,0
03/23/2016,0
03/24/2016,0
03/25/2016,0
03/26/2016,0
03/27/2016,0
03/28/2016,0
03/29/2016,0
03/30/2016,0
03/31/2016,14
04/01/2016,1
04/02/2016,3
04/03/2016,7
04/04/2016,1
04/05/2016,15
04/06/2016,10
04/07/2016,0
04/08/2016,18
04/09/2016,12
04/10/2016,32
04/11/2016,13
04/12/2016,21
04/13/2016,48
04/14/2016,16
04/15/2016,13
04/16/2016,31
04/17/2016,6
04/18/2016,8
04/19/2016,69
04/20/2016,38
04/21/2016,14
04/22/2016,5
04/23/2016,14
04/24/2016,21
04/25/2016,8
04/26/2016,25
04/27/2016,20
04/28/2016,54
04/29/2016,8
04/30/2016,31
05/01/2016,0
05/02/2016,0
05/03/2016,0
05/04/2016,0
05/05/2016,0
05/06/2016,0
05/07/2016,0
05/08/2016,53
05/09/2016,74
05/10/2016,5
05/11/2016,70
05/12/2016,20
05/13/2016,98
05/14/2016,40
05/15/2016,17
05/16/2016,214
05/17/2016,0
05/18/2016,0
05/19/2016,0
05/20/2016,0
05/21/2016,14
05/22/2016,401
05/23/2016,115
05/24/2016,0
05/25/2016,180
05/26/2016,75
05/27/2016,31
05/28/2016,59
05/29/2016,43
05/30/2016,28
05/31/2016,141
