Day,嘎嘎
02/01/2016,0
02/02/2016,0
02/03/2016,0
02/04/2016,0
02/05/2016,0
02/06/2016,0
02/07/2016,0
02/08/2016,0
02/09/2016,0
02/10/2016,0
02/11/2016,0
02/12/2016,0
02/13/2016,0
02/14/2016,0
02/15/2016,0
02/16/2016,0
02/17/2016,0
02/18/2016,0
02/19/2016,0
02/20/2016,0
02/21/2016,0
02/22/2016,0
02/23/2016,0
02/24/2016,0
02/25/2016,0
02/26/2016,0
02/27/2016,0
02/28/2016,0
02/29/2016,0
03/01/2016,0
03/02/2016,0
03/03/2016,0
03/04/2016,0
03/05/2016,0
03/06/2016,0
03/07/2016,0
03/08/2016,0
03/09/2016,0
03/10/2016,0
03/11/2016,0
03/12/2016,0
03/13/2016,0
03/14/2016,0
03/15/2016,0
03/16/2016,0
03/17/2016,0
03/18/2016,0
03/19/2016,0
03/20/2016,0
03/21/2016,0
03/22/2016,0
03/23/2016,0
03/24/2016,0
03/25/2016,0
03/26/2016,0
03/27/2016,0
03/28/2016,0
03/29/2016,0
03/30/2016,0
03/31/2016,0
04/01/2016,0
04/02/2016,0
04/03/2016,0
04/04/2016,0
04/05/2016,0
04/06/2016,0
04/07/2016,0
04/08/2016,0
04/09/2016,0
04/10/2016,0
04/11/2016,0
04/12/2016,0
04/13/2016,0
04/14/2016,0
04/15/2016,0
04/16/2016,13
04/17/2016,0
04/18/2016,0
04/19/2016,0
04/20/2016,0
04/21/2016,0
04/22/2016,0
04/23/2016,0
04/24/2016,0
04/25/2016,0
04/26/2016,0
04/27/2016,0
04/28/2016,0
04/29/2016,0
04/30/2016,0
05/01/2016,0
05/02/2016,0
05/03/2016,366
05/04/2016,198
05/05/2016,336
05/06/2016,186
05/07/2016,34
05/08/2016,22
05/09/2016,109
05/10/2016,80
05/11/2016,269
05/12/2016,111
05/13/2016,69
05/14/2016,31
05/15/2016,171
05/16/2016,386
05/17/2016,267
05/18/2016,304
05/19/2016,266
05/20/2016,160
05/21/2016,249
05/22/2016,79
05/23/2016,93
05/24/2016,93
05/25/2016,29
05/26/2016,69
05/27/2016,34
05/28/2016,6
05/29/2016,25
05/30/2016,28
05/31/2016,56
06/01/2016,146
06/02/2016,134
06/03/2016,176
06/04/2016,37
06/05/2016,56
06/06/2016,4
06/07/2016,51
06/08/2016,42
06/09/2016,57
06/10/2016,34
06/11/2016,167
06/12/2016,8
06/13/2016,50
06/14/2016,49
06/15/2016,132
06/16/2016,97
06/17/2016,54
06/18/2016,30
06/19/2016,33
06/20/2016,122
06/21/2016,117
06/22/2016,2
06/23/2016,225
06/24/2016,87
06/25/2016,111
06/26/2016,82
06/27/2016,42
06/28/2016,0
06/29/2016,122
06/30/2016,73
07/01/2016,33
07/02/2016,19
07/03/2016,2
07/04/2016,85
07/05/2016,83
07/06/2016,62
07/07/2016,13
07/08/2016,0
07/09/2016,33
07/10/2016,19
07/11/2016,39
07/12/2016,26
07/13/2016,95
07/14/2016,136
07/15/2016,55
07/16/2016,45
07/17/2016,38
07/18/2016,14
07/19/2016,51
07/20/2016,227
07/21/2016,79
07/22/2016,58
07/23/2016,19
07/24/2016,78
07/25/2016,39
07/26/2016,78
07/27/2016,39
07/28/2016,25
07/29/2016,104
07/30/2016,0
07/31/2016,94
08/01/2016,110
08/02/2016,142
08/03/2016,0
08/04/2016,46
08/05/2016,8
08/06/2016,63
08/07/2016,131
08/08/2016,0
08/09/2016,66
08/10/2016,20
08/11/2016,14
08/12/2016,28
08/13/2016,1
08/14/2016,12
08/15/2016,8
08/16/2016,23
08/17/2016,3
08/18/2016,8
08/19/2016,5
08/20/2016,25
08/21/2016,8
08/22/2016,3
08/23/2016,0
08/24/2016,0
08/25/2016,0
08/26/2016,0
08/27/2016,0
08/28/2016,0
08/29/2016,0
08/30/2016,0
08/31/2016,0
09/01/2016,0
09/02/2016,0
09/03/2016,0
09/04/2016,0
09/05/2016,0
09/06/2016,0
09/07/2016,0
09/08/2016,0
09/09/2016,0
09/10/2016,0
09/11/2016,0
09/12/2016,0
09/13/2016,0
09/14/2016,0
09/15/2016,0
09/16/2016,0
09/17/2016,0
09/18/2016,0
09/19/2016,0
09/20/2016,0
09/21/2016,204
09/22/2016,124
09/23/2016,186
09/24/2016,98
09/25/2016,114
09/26/2016,144
09/27/2016,99
09/28/2016,100
09/29/2016,49
09/30/2016,173
