Day,陳湘湘️
02/01/2016,0
02/02/2016,0
02/03/2016,0
02/04/2016,0
02/05/2016,0
02/06/2016,0
02/07/2016,0
02/08/2016,0
02/09/2016,0
02/10/2016,0
02/11/2016,0
02/12/2016,0
02/13/2016,0
02/14/2016,0
02/15/2016,0
02/16/2016,0
02/17/2016,0
02/18/2016,0
02/19/2016,0
02/20/2016,0
02/21/2016,0
02/22/2016,0
02/23/2016,0
02/24/2016,0
02/25/2016,0
02/26/2016,0
02/27/2016,0
02/28/2016,0
02/29/2016,0
03/01/2016,0
03/02/2016,0
03/03/2016,0
03/04/2016,0
03/05/2016,0
03/06/2016,0
03/07/2016,0
03/08/2016,0
03/09/2016,0
03/10/2016,0
03/11/2016,0
03/12/2016,0
03/13/2016,0
03/14/2016,0
03/15/2016,0
03/16/2016,0
03/17/2016,0
03/18/2016,0
03/19/2016,0
03/20/2016,0
03/21/2016,0
03/22/2016,0
03/23/2016,0
03/24/2016,0
03/25/2016,0
03/26/2016,0
03/27/2016,0
03/28/2016,0
03/29/2016,0
03/30/2016,0
03/31/2016,0
04/01/2016,0
04/02/2016,0
04/03/2016,0
04/04/2016,0
04/05/2016,0
04/06/2016,0
04/07/2016,0
04/08/2016,0
04/09/2016,0
04/10/2016,0
04/11/2016,0
04/12/2016,0
04/13/2016,0
04/14/2016,0
04/15/2016,0
04/16/2016,0
04/17/2016,0
04/18/2016,0
04/19/2016,0
04/20/2016,0
04/21/2016,0
04/22/2016,0
04/23/2016,0
04/24/2016,0
04/25/2016,0
04/26/2016,0
04/27/2016,0
04/28/2016,0
04/29/2016,0
04/30/2016,0
05/01/2016,0
05/02/2016,0
05/03/2016,0
05/04/2016,0
05/05/2016,0
05/06/2016,0
05/07/2016,0
05/08/2016,0
05/09/2016,0
05/10/2016,0
05/11/2016,382
05/12/2016,195
05/13/2016,231
05/14/2016,21
05/15/2016,165
05/16/2016,543
05/17/2016,263
05/18/2016,859
05/19/2016,315
05/20/2016,152
05/21/2016,277
05/22/2016,540
05/23/2016,421
05/24/2016,421
05/25/2016,121
05/26/2016,99
05/27/2016,207
05/28/2016,9
05/29/2016,30
05/30/2016,60
05/31/2016,92
06/01/2016,38
06/02/2016,18
06/03/2016,72
06/04/2016,6
06/05/2016,3
06/06/2016,0
06/07/2016,59
06/08/2016,9
06/09/2016,6
06/10/2016,65
06/11/2016,83
06/12/2016,1
06/13/2016,4
06/14/2016,12
06/15/2016,96
06/16/2016,0
06/17/2016,14
06/18/2016,20
06/19/2016,0
06/20/2016,0
06/21/2016,2
06/22/2016,0
06/23/2016,1
06/24/2016,5
06/25/2016,0
06/26/2016,0
06/27/2016,6
06/28/2016,0
06/29/2016,59
06/30/2016,16
07/01/2016,5
07/02/2016,12
07/03/2016,0
07/04/2016,1
07/05/2016,49
07/06/2016,7
07/07/2016,0
07/08/2016,1
07/09/2016,13
07/10/2016,4
07/11/2016,0
07/12/2016,14
07/13/2016,8
07/14/2016,18
07/15/2016,8
07/16/2016,0
07/17/2016,2
07/18/2016,0
07/19/2016,16
07/20/2016,32
07/21/2016,2
07/22/2016,15
07/23/2016,16
07/24/2016,4
07/25/2016,8
07/26/2016,0
07/27/2016,14
07/28/2016,0
07/29/2016,1
07/30/2016,0
07/31/2016,5
