Day,Darren
02/01/2016,13
02/02/2016,13
02/03/2016,37
02/04/2016,79
02/05/2016,17
02/06/2016,33
02/07/2016,18
02/08/2016,12
02/09/2016,13
02/10/2016,39
02/11/2016,26
02/12/2016,28
02/13/2016,43
02/14/2016,10
02/15/2016,36
02/16/2016,18
02/17/2016,23
02/18/2016,55
02/19/2016,35
02/20/2016,21
02/21/2016,15
02/22/2016,57
02/23/2016,21
02/24/2016,30
02/25/2016,15
02/26/2016,22
02/27/2016,2
02/28/2016,3
02/29/2016,7
03/01/2016,16
03/02/2016,119
03/03/2016,15
03/04/2016,110
03/05/2016,13
03/06/2016,7
03/07/2016,79
03/08/2016,88
03/09/2016,57
03/10/2016,43
03/11/2016,35
03/12/2016,8
03/13/2016,12
03/14/2016,56
03/15/2016,11
03/16/2016,16
03/17/2016,110
03/18/2016,72
03/19/2016,23
03/20/2016,7
03/21/2016,92
03/22/2016,65
03/23/2016,150
03/24/2016,77
03/25/2016,56
03/26/2016,49
03/27/2016,45
03/28/2016,150
03/29/2016,139
03/30/2016,152
03/31/2016,159
04/01/2016,140
04/02/2016,119
04/03/2016,25
04/04/2016,13
04/05/2016,96
04/06/2016,222
04/07/2016,210
04/08/2016,39
04/09/2016,55
04/10/2016,57
04/11/2016,151
04/12/2016,110
04/13/2016,156
04/14/2016,143
04/15/2016,122
04/16/2016,143
04/17/2016,80
04/18/2016,120
04/19/2016,98
04/20/2016,0
04/21/2016,0
04/22/2016,0
04/23/2016,0
04/24/2016,0
04/25/2016,0
04/26/2016,0
04/27/2016,0
04/28/2016,0
04/29/2016,0
04/30/2016,0
