Day,LiVa〃玫咩
02/01/2016,2
02/02/2016,1
02/03/2016,0
02/04/2016,0
02/05/2016,0
02/06/2016,12
02/07/2016,14
02/08/2016,22
02/09/2016,0
02/10/2016,5
02/11/2016,0
02/12/2016,3
02/13/2016,0
02/14/2016,0
02/15/2016,0
02/16/2016,0
02/17/2016,6
02/18/2016,0
02/19/2016,11
02/20/2016,13
02/21/2016,22
02/22/2016,13
02/23/2016,15
02/24/2016,6
02/25/2016,0
02/26/2016,3
02/27/2016,30
02/28/2016,4
02/29/2016,1
03/01/2016,0
03/02/2016,0
03/03/2016,6
03/04/2016,15
03/05/2016,0
03/06/2016,1
03/07/2016,0
03/08/2016,1
03/09/2016,7
03/10/2016,0
03/11/2016,0
03/12/2016,0
03/13/2016,0
03/14/2016,1
03/15/2016,0
03/16/2016,0
03/17/2016,0
03/18/2016,0
03/19/2016,0
03/20/2016,0
03/21/2016,0
03/22/2016,0
03/23/2016,0
03/24/2016,23
03/25/2016,4
03/26/2016,16
03/27/2016,0
03/28/2016,7
03/29/2016,16
03/30/2016,1
03/31/2016,5
04/01/2016,77
04/02/2016,0
04/03/2016,8
04/04/2016,35
04/05/2016,62
04/06/2016,14
04/07/2016,6
04/08/2016,1
04/09/2016,0
04/10/2016,4
04/11/2016,5
04/12/2016,0
04/13/2016,0
04/14/2016,5
04/15/2016,0
04/16/2016,0
04/17/2016,0
04/18/2016,0
04/19/2016,0
04/20/2016,17
04/21/2016,1
04/22/2016,8
04/23/2016,0
04/24/2016,4
04/25/2016,0
04/26/2016,0
04/27/2016,0
04/28/2016,0
04/29/2016,0
04/30/2016,0
