Day,Ruby
02/01/2016,0
02/02/2016,0
02/03/2016,0
02/04/2016,0
02/05/2016,0
02/06/2016,0
02/07/2016,0
02/08/2016,0
02/09/2016,0
02/10/2016,0
02/11/2016,0
02/12/2016,0
02/13/2016,0
02/14/2016,0
02/15/2016,0
02/16/2016,0
02/17/2016,0
02/18/2016,0
02/19/2016,0
02/20/2016,0
02/21/2016,0
02/22/2016,0
02/23/2016,0
02/24/2016,0
02/25/2016,0
02/26/2016,0
02/27/2016,0
02/28/2016,0
02/29/2016,0
03/01/2016,0
03/02/2016,0
03/03/2016,0
03/04/2016,0
03/05/2016,0
03/06/2016,0
03/07/2016,0
03/08/2016,0
03/09/2016,0
03/10/2016,0
03/11/2016,0
03/12/2016,0
03/13/2016,0
03/14/2016,0
03/15/2016,0
03/16/2016,0
03/17/2016,0
03/18/2016,0
03/19/2016,0
03/20/2016,0
03/21/2016,0
03/22/2016,0
03/23/2016,0
03/24/2016,0
03/25/2016,0
03/26/2016,0
03/27/2016,0
03/28/2016,0
03/29/2016,0
03/30/2016,0
03/31/2016,0
04/01/2016,0
04/02/2016,0
04/03/2016,0
04/04/2016,0
04/05/2016,0
04/06/2016,0
04/07/2016,0
04/08/2016,0
04/09/2016,0
04/10/2016,0
04/11/2016,0
04/12/2016,0
04/13/2016,0
04/14/2016,0
04/15/2016,0
04/16/2016,11
04/17/2016,0
04/18/2016,0
04/19/2016,0
04/20/2016,26
04/21/2016,14
04/22/2016,18
04/23/2016,0
04/24/2016,38
04/25/2016,23
04/26/2016,34
04/27/2016,40
04/28/2016,55
04/29/2016,178
04/30/2016,65
05/01/2016,20
05/02/2016,133
05/03/2016,37
05/04/2016,128
05/05/2016,46
05/06/2016,39
05/07/2016,77
05/08/2016,24
05/09/2016,47
05/10/2016,14
05/11/2016,81
05/12/2016,24
05/13/2016,74
05/14/2016,43
05/15/2016,85
05/16/2016,162
05/17/2016,205
05/18/2016,136
05/19/2016,93
05/20/2016,29
05/21/2016,38
05/22/2016,29
05/23/2016,218
05/24/2016,238
05/25/2016,184
05/26/2016,142
05/27/2016,200
05/28/2016,13
05/29/2016,68
05/30/2016,93
05/31/2016,106
06/01/2016,77
06/02/2016,111
06/03/2016,84
06/04/2016,46
06/05/2016,183
06/06/2016,9
06/07/2016,154
06/08/2016,81
06/09/2016,43
06/10/2016,92
06/11/2016,71
06/12/2016,28
06/13/2016,48
06/14/2016,62
06/15/2016,42
06/16/2016,36
06/17/2016,16
06/18/2016,17
06/19/2016,29
06/20/2016,9
06/21/2016,31
06/22/2016,24
06/23/2016,10
06/24/2016,62
06/25/2016,180
06/26/2016,56
06/27/2016,6
06/28/2016,17
06/29/2016,53
06/30/2016,39
07/01/2016,42
07/02/2016,23
07/03/2016,24
07/04/2016,7
07/05/2016,60
07/06/2016,53
07/07/2016,134
07/08/2016,10
07/09/2016,14
07/10/2016,51
07/11/2016,52
07/12/2016,54
07/13/2016,16
07/14/2016,28
07/15/2016,37
07/16/2016,12
07/17/2016,4
07/18/2016,1
07/19/2016,5
07/20/2016,18
07/21/2016,0
07/22/2016,0
07/23/2016,0
07/24/2016,0
07/25/2016,0
07/26/2016,0
07/27/2016,0
07/28/2016,0
07/29/2016,0
07/30/2016,0
07/31/2016,0
08/01/2016,56
08/02/2016,16
08/03/2016,30
08/04/2016,30
08/05/2016,13
08/06/2016,22
08/07/2016,17
08/08/2016,26
08/09/2016,20
08/10/2016,11
08/11/2016,11
08/12/2016,53
08/13/2016,6
08/14/2016,4
08/15/2016,6
08/16/2016,22
08/17/2016,7
08/18/2016,12
08/19/2016,20
08/20/2016,15
08/21/2016,4
08/22/2016,66
08/23/2016,62
08/24/2016,85
08/25/2016,37
08/26/2016,50
08/27/2016,15
08/28/2016,0
08/29/2016,60
08/30/2016,72
08/31/2016,39
09/01/2016,30
09/02/2016,31
09/03/2016,12
09/04/2016,1
09/05/2016,55
09/06/2016,33
09/07/2016,44
09/08/2016,34
09/09/2016,33
09/10/2016,7
09/11/2016,0
09/12/2016,24
09/13/2016,19
09/14/2016,28
09/15/2016,63
09/16/2016,27
09/17/2016,131
09/18/2016,34
09/19/2016,98
09/20/2016,171
09/21/2016,33
09/22/2016,245
09/23/2016,237
09/24/2016,23
09/25/2016,75
09/26/2016,28
09/27/2016,14
09/28/2016,31
09/29/2016,98
09/30/2016,35
